536365,A452,Abracadabra Bag,5,2.99,17850,United Kingdom
536366,B123,Bubblegum Bracelet,3,1.50,17851,United Kingdom
536367,C789,Crystal Crown,1,9.99,17852,France
536368,D987,Dragon Earrings,2,4.75,17853,Germany
536369,E654,Enchanted Necklace,1,12.99,17854,France
536370,F321,Fairy Dust Powder,4,3.25,17855,Germany
536371,G111,Golden Ring,2,15.50,17856,United Kingdom
536372,H222,Harmony Pendant,1,8.49,17857,France
536373,I333,Infinity Bangle,3,6.75,17858,United Kingdom
536374,J444,Jewel Box,1,18.99,17859,Germany
